,ecg1,ecg2,emg1
257,0.547785237,0.345204355,0.096910178
258,0.429999363,0.443990281,0.074842194
259,0.534781947,0.540348485,0.058611039
260,0.494209683,0.44995515,0.097518325
261,0.411268224,0.410995873,0.027258534
262,0.409337393,0.412168786,0.075078548
263,0.415855474,0.439544278,0.00094602
264,0.495646522,0.448593047,0.05993983
265,0.400622752,0.394208726,0.090157979
266,0.408536491,0.390139739,0.047845164
267,0.416165555,0.449646788,0.096667908
268,0.523774345,0.514278365,0.110797148
269,0.447326931,0.406669521,0.063657173
270,0.386792001,0.390212656,0.082872486
271,0.387071421,0.391738654,0.058118283
272,0.406596596,0.454538049,0.059680626
273,0.442760418,0.397963955,0.08614358
274,0.335915586,0.701409825,0.135768572
275,0.348733706,0.396671395,0.075778762
276,0.428806378,0.479851505,0.057011615
277,0.513234452,0.46751712,0.070789504
278,0.39769149,0.388696779,0.057278892
279,0.380609983,0.388538503,0.083298
280,0.386015629,0.397711179,0.088820345
281,0.459627685,0.466631088,0.081116828
282,0.399722411,0.379560177,0.067584164
283,0.737165607,0.324649651,0.080181041
284,0.410710461,0.422723726,0.111389098
285,0.509585757,0.522781082,0.03848155
286,0.491741984,0.437040967,0.051582035
287,0.408243141,0.402852957,0.060625112
288,0.410209215,0.408461502,0.075519631
289,0.422674777,0.444199512,0.109878527
290,0.497847181,0.447203358,0.080647035
291,0.398995617,0.446677618,0.101814061
292,0.341421756,0.41199812,0.078361708
293,0.450482126,0.474228794,0.083715802
294,0.559084724,0.531102612,0.080319458
295,0.460248131,0.428262293,0.074066439
296,0.420593011,0.417679088,0.034400241
297,0.423681444,0.421721558,0.086657157
298,0.461833092,0.491263573,0.115672182
299,0.456734963,0.42690476,0.115261068
300,0.506614277,0.703059843,0.094258715
301,0.441406332,0.428120562,0.078718194
302,0.508549095,0.515173098,0.103117828
303,0.542705502,0.484000155,0.085066909
304,0.431228897,0.410430684,0.077020408
305,0.420951024,0.408275492,0.095621071
306,0.422563279,0.417643732,0.060683142
307,0.499866922,0.466813939,0.109118079
308,0.403953025,0.365226702,0.120756094
309,0.340974832,0.343828668,0.065552303
310,0.429876232,0.431001048,0.092866124
311,0.528975053,0.511512948,0.089378585
312,0.419277977,0.406977632,0.068984571
313,0.391218238,0.386722631,0.064988542
314,0.392957782,0.389051277,0.089986252
315,0.464546507,0.453153112,0.100321311
316,0.396276893,0.39509666,0.070315548
317,0.539720435,0.644723149,0.069845032
318,0.400888504,0.395710708,0.091520244
319,0.509775408,0.488589107,0.088902056
320,0.435088914,0.450813253,0.109584399
321,0.387334511,0.388350468,0.050568378
322,0.392551526,0.391717545,0.045765144
